name,type,Vertices,Edges
Dubois-023.xml.hg,CSP Application,69,46
Dubois-024.xml.hg,CSP Application,72,48
Dubois-025.xml.hg,CSP Application,75,50
Dubois-026.xml.hg,CSP Application,78,52
Dubois-027.xml.hg,CSP Application,81,54
Dubois-028.xml.hg,CSP Application,84,56
Dubois-029.xml.hg,CSP Application,87,58
Dubois-030.xml.hg,CSP Application,90,60
Dubois-035.xml.hg,CSP Application,105,70
Dubois-040.xml.hg,CSP Application,120,80
Dubois-045.xml.hg,CSP Application,135,90
Dubois-050.xml.hg,CSP Application,150,100
Kakuro-easy-000-ext.xml.hg,CSP Application,18,12
Kakuro-easy-001-ext.xml.hg,CSP Application,36,24
Kakuro-easy-002-ext.xml.hg,CSP Application,71,52
Kakuro-easy-003-ext.xml.hg,CSP Application,73,48
Kakuro-easy-004-ext.xml.hg,CSP Application,76,48
Kakuro-easy-005-ext.xml.hg,CSP Application,72,50
Kakuro-easy-006-ext.xml.hg,CSP Application,80,54
Kakuro-easy-007-ext.xml.hg,CSP Application,86,58
Kakuro-easy-008-ext.xml.hg,CSP Application,79,54
Kakuro-easy-009-ext.xml.hg,CSP Application,78,56
Kakuro-easy-010-ext.xml.hg,CSP Application,83,58
Kakuro-easy-011-ext.xml.hg,CSP Application,80,52
Kakuro-easy-012-ext.xml.hg,CSP Application,81,58
Kakuro-easy-013-ext.xml.hg,CSP Application,87,54
Kakuro-easy-014-ext.xml.hg,CSP Application,74,52
Kakuro-easy-015-ext.xml.hg,CSP Application,82,54
Kakuro-easy-016-ext.xml.hg,CSP Application,86,58
Kakuro-easy-017-ext.xml.hg,CSP Application,89,58
Kakuro-easy-018-ext.xml.hg,CSP Application,82,56
Kakuro-easy-019-ext.xml.hg,CSP Application,86,58
Kakuro-easy-020-ext.xml.hg,CSP Application,81,54
Kakuro-easy-021-ext.xml.hg,CSP Application,86,56
Kakuro-easy-022-ext.xml.hg,CSP Application,84,54
Kakuro-easy-023-ext.xml.hg,CSP Application,81,60
Kakuro-easy-024-ext.xml.hg,CSP Application,84,58
Kakuro-easy-025-ext.xml.hg,CSP Application,83,54
Kakuro-easy-026-ext.xml.hg,CSP Application,80,50
Kakuro-easy-027-ext.xml.hg,CSP Application,88,56
Kakuro-easy-028-ext.xml.hg,CSP Application,88,54
Kakuro-easy-029-ext.xml.hg,CSP Application,80,52
Kakuro-easy-030-ext.xml.hg,CSP Application,81,52
Kakuro-easy-031-ext.xml.hg,CSP Application,76,48
Kakuro-easy-032-ext.xml.hg,CSP Application,85,58
Kakuro-easy-033-ext.xml.hg,CSP Application,80,54
Kakuro-easy-034-ext.xml.hg,CSP Application,88,58
Kakuro-easy-035-ext.xml.hg,CSP Application,83,52
Kakuro-easy-036-ext.xml.hg,CSP Application,82,52
Kakuro-easy-037-ext.xml.hg,CSP Application,86,52
Kakuro-easy-038-ext.xml.hg,CSP Application,90,52
Kakuro-easy-039-ext.xml.hg,CSP Application,89,54
Kakuro-easy-040-ext.xml.hg,CSP Application,86,54
Kakuro-easy-041-ext.xml.hg,CSP Application,84,54
Kakuro-easy-042-ext.xml.hg,CSP Application,84,56
Kakuro-easy-043-ext.xml.hg,CSP Application,83,56
Kakuro-easy-044-ext.xml.hg,CSP Application,82,58
Kakuro-easy-045-ext.xml.hg,CSP Application,84,52
Kakuro-easy-046-ext.xml.hg,CSP Application,82,54
Kakuro-easy-047-ext.xml.hg,CSP Application,86,58
Kakuro-easy-048-ext.xml.hg,CSP Application,84,60
Kakuro-easy-049-ext.xml.hg,CSP Application,108,66
Kakuro-easy-050-ext.xml.hg,CSP Application,110,62
Kakuro-easy-051-ext.xml.hg,CSP Application,105,64
Kakuro-easy-052-ext.xml.hg,CSP Application,103,68
Kakuro-easy-053-ext.xml.hg,CSP Application,106,68
Kakuro-easy-054-ext.xml.hg,CSP Application,104,66
Kakuro-easy-055-ext.xml.hg,CSP Application,103,64
Kakuro-easy-056-ext.xml.hg,CSP Application,100,66
Kakuro-easy-057-ext.xml.hg,CSP Application,99,62
Kakuro-easy-058-ext.xml.hg,CSP Application,121,82
Kakuro-easy-059-ext.xml.hg,CSP Application,122,76
Kakuro-easy-060-ext.xml.hg,CSP Application,120,78
Kakuro-easy-061-ext.xml.hg,CSP Application,148,98
Kakuro-easy-062-ext.xml.hg,CSP Application,144,98
Kakuro-easy-064-ext.xml.hg,CSP Application,150,96
Kakuro-easy-065-ext.xml.hg,CSP Application,144,98
Kakuro-easy-068-ext.xml.hg,CSP Application,148,94
Kakuro-easy-069-ext.xml.hg,CSP Application,148,94
Kakuro-easy-070-ext.xml.hg,CSP Application,155,98
Kakuro-easy-071-ext.xml.hg,CSP Application,152,94
Kakuro-easy-072-ext.xml.hg,CSP Application,152,98
Kakuro-easy-073-ext.xml.hg,CSP Application,148,98
Kakuro-easy-074-ext.xml.hg,CSP Application,150,96
Kakuro-easy-075-ext.xml.hg,CSP Application,148,98
Kakuro-easy-076-ext.xml.hg,CSP Application,142,96
Kakuro-easy-083-ext.xml.hg,CSP Application,153,98
Kakuro-easy-084-ext.xml.hg,CSP Application,156,100
Kakuro-easy-086-ext.xml.hg,CSP Application,150,88
Kakuro-easy-087-ext.xml.hg,CSP Application,148,90
Kakuro-easy-088-ext.xml.hg,CSP Application,153,100
Kakuro-easy-089-ext.xml.hg,CSP Application,142,88
Kakuro-easy-091-ext.xml.hg,CSP Application,157,96
Kakuro-easy-093-ext.xml.hg,CSP Application,150,96
Kakuro-easy-094-ext.xml.hg,CSP Application,157,96
Kakuro-easy-096-ext.xml.hg,CSP Application,151,96
Kakuro-easy-097-ext.xml.hg,CSP Application,154,96
Kakuro-easy-098-ext.xml.hg,CSP Application,157,96
Kakuro-easy-099-ext.xml.hg,CSP Application,159,96
Kakuro-easy-103-ext.xml.hg,CSP Application,162,96
Kakuro-easy-104-ext.xml.hg,CSP Application,148,94
Kakuro-easy-106-ext.xml.hg,CSP Application,150,96
Kakuro-easy-109-ext.xml.hg,CSP Application,180,100
Kakuro-easy-112-ext.xml.hg,CSP Application,162,98
Kakuro-easy-113-ext.xml.hg,CSP Application,153,90
Kakuro-easy-114-ext.xml.hg,CSP Application,168,92
Kakuro-easy-115-ext.xml.hg,CSP Application,176,92
Kakuro-easy-117-ext.xml.hg,CSP Application,158,90
Kakuro-easy-118-ext.xml.hg,CSP Application,154,88
Kakuro-easy-120-ext.xml.hg,CSP Application,164,100
Kakuro-easy-121-ext.xml.hg,CSP Application,156,90
Kakuro-easy-122-ext.xml.hg,CSP Application,160,96
Kakuro-easy-123-ext.xml.hg,CSP Application,154,94
Kakuro-easy-124-ext.xml.hg,CSP Application,157,82
Kakuro-easy-125-ext.xml.hg,CSP Application,164,98
Kakuro-easy-126-ext.xml.hg,CSP Application,170,98
Kakuro-easy-127-ext.xml.hg,CSP Application,172,96
Kakuro-easy-128-ext.xml.hg,CSP Application,164,100
Kakuro-easy-129-ext.xml.hg,CSP Application,169,96
Kakuro-easy-130-ext.xml.hg,CSP Application,157,90
Kakuro-easy-131-ext.xml.hg,CSP Application,180,96
Kakuro-easy-132-ext.xml.hg,CSP Application,172,92
Kakuro-easy-133-ext.xml.hg,CSP Application,164,96
Kakuro-easy-134-ext.xml.hg,CSP Application,156,92
Kakuro-easy-135-ext.xml.hg,CSP Application,157,90
Kakuro-easy-136-ext.xml.hg,CSP Application,168,96
Kakuro-easy-138-ext.xml.hg,CSP Application,176,100
Kakuro-easy-139-ext.xml.hg,CSP Application,164,88
Kakuro-easy-142-ext.xml.hg,CSP Application,156,96
Kakuro-easy-146-ext.xml.hg,CSP Application,165,98
Kakuro-easy-148-ext.xml.hg,CSP Application,168,98
Kakuro-easy-149-ext.xml.hg,CSP Application,164,98
Kakuro-easy-150-ext.xml.hg,CSP Application,165,88
Kakuro-easy-151-ext.xml.hg,CSP Application,177,94
Kakuro-easy-152-ext.xml.hg,CSP Application,177,96
Kakuro-easy-153-ext.xml.hg,CSP Application,175,98
Kakuro-easy-154-ext.xml.hg,CSP Application,154,98
Kakuro-easy-155-ext.xml.hg,CSP Application,153,92
Kakuro-easy-156-ext.xml.hg,CSP Application,158,96
Kakuro-easy-157-ext.xml.hg,CSP Application,156,90
Kakuro-easy-161-ext.xml.hg,CSP Application,165,86
Kakuro-easy-162-ext.xml.hg,CSP Application,165,100
Kakuro-easy-163-ext.xml.hg,CSP Application,172,96
Kakuro-easy-164-ext.xml.hg,CSP Application,168,88
Kakuro-easy-165-ext.xml.hg,CSP Application,167,94
Kakuro-hard-000-ext.xml.hg,CSP Application,18,12
Kakuro-hard-001-ext.xml.hg,CSP Application,36,24
Kakuro-hard-002-ext.xml.hg,CSP Application,71,52
Kakuro-hard-003-ext.xml.hg,CSP Application,73,48
Kakuro-hard-004-ext.xml.hg,CSP Application,76,48
Kakuro-hard-005-ext.xml.hg,CSP Application,72,50
Kakuro-hard-006-ext.xml.hg,CSP Application,80,54
Kakuro-hard-007-ext.xml.hg,CSP Application,86,58
Kakuro-hard-008-ext.xml.hg,CSP Application,79,54
Kakuro-hard-009-ext.xml.hg,CSP Application,78,56
Kakuro-hard-010-ext.xml.hg,CSP Application,83,58
Kakuro-hard-011-ext.xml.hg,CSP Application,80,52
Kakuro-hard-012-ext.xml.hg,CSP Application,81,58
Kakuro-hard-013-ext.xml.hg,CSP Application,87,54
Kakuro-hard-014-ext.xml.hg,CSP Application,74,52
Kakuro-hard-015-ext.xml.hg,CSP Application,82,54
Kakuro-hard-016-ext.xml.hg,CSP Application,86,58
Kakuro-hard-017-ext.xml.hg,CSP Application,89,58
Kakuro-hard-018-ext.xml.hg,CSP Application,82,56
Kakuro-hard-019-ext.xml.hg,CSP Application,86,58
Kakuro-hard-020-ext.xml.hg,CSP Application,81,54
Kakuro-hard-021-ext.xml.hg,CSP Application,86,56
Kakuro-hard-022-ext.xml.hg,CSP Application,84,54
Kakuro-hard-023-ext.xml.hg,CSP Application,81,60
Kakuro-hard-024-ext.xml.hg,CSP Application,84,58
Kakuro-hard-025-ext.xml.hg,CSP Application,83,54
Kakuro-hard-026-ext.xml.hg,CSP Application,80,50
Kakuro-hard-027-ext.xml.hg,CSP Application,88,56
Kakuro-hard-028-ext.xml.hg,CSP Application,88,54
Kakuro-hard-029-ext.xml.hg,CSP Application,80,52
Kakuro-hard-030-ext.xml.hg,CSP Application,81,52
Kakuro-hard-031-ext.xml.hg,CSP Application,76,48
Kakuro-hard-032-ext.xml.hg,CSP Application,85,58
Kakuro-hard-033-ext.xml.hg,CSP Application,80,54
Kakuro-hard-034-ext.xml.hg,CSP Application,88,58
Kakuro-hard-035-ext.xml.hg,CSP Application,83,52
Kakuro-hard-036-ext.xml.hg,CSP Application,82,52
Kakuro-hard-037-ext.xml.hg,CSP Application,86,52
Kakuro-hard-038-ext.xml.hg,CSP Application,90,52
Kakuro-hard-039-ext.xml.hg,CSP Application,89,54
Kakuro-hard-040-ext.xml.hg,CSP Application,86,54
Kakuro-hard-041-ext.xml.hg,CSP Application,84,54
Kakuro-hard-042-ext.xml.hg,CSP Application,84,56
Kakuro-hard-043-ext.xml.hg,CSP Application,83,56
Kakuro-hard-044-ext.xml.hg,CSP Application,82,58
Kakuro-hard-045-ext.xml.hg,CSP Application,84,52
Kakuro-hard-046-ext.xml.hg,CSP Application,82,54
Kakuro-hard-047-ext.xml.hg,CSP Application,86,58
Kakuro-hard-048-ext.xml.hg,CSP Application,84,60
Kakuro-hard-049-ext.xml.hg,CSP Application,108,66
Kakuro-hard-050-ext.xml.hg,CSP Application,110,62
Kakuro-hard-051-ext.xml.hg,CSP Application,105,64
Kakuro-hard-052-ext.xml.hg,CSP Application,103,68
Kakuro-hard-053-ext.xml.hg,CSP Application,106,68
Kakuro-hard-054-ext.xml.hg,CSP Application,104,66
Kakuro-hard-055-ext.xml.hg,CSP Application,103,64
Kakuro-hard-056-ext.xml.hg,CSP Application,100,66
Kakuro-hard-057-ext.xml.hg,CSP Application,99,62
Kakuro-hard-058-ext.xml.hg,CSP Application,121,82
Kakuro-hard-059-ext.xml.hg,CSP Application,122,76
Kakuro-hard-060-ext.xml.hg,CSP Application,120,78
Kakuro-hard-061-ext.xml.hg,CSP Application,148,98
Kakuro-hard-062-ext.xml.hg,CSP Application,144,98
Kakuro-hard-064-ext.xml.hg,CSP Application,150,96
Kakuro-hard-065-ext.xml.hg,CSP Application,144,98
Kakuro-hard-068-ext.xml.hg,CSP Application,148,94
Kakuro-hard-069-ext.xml.hg,CSP Application,148,94
Kakuro-hard-070-ext.xml.hg,CSP Application,155,98
Kakuro-hard-071-ext.xml.hg,CSP Application,152,94
Kakuro-hard-072-ext.xml.hg,CSP Application,152,98
Kakuro-hard-073-ext.xml.hg,CSP Application,148,98
Kakuro-hard-074-ext.xml.hg,CSP Application,150,96
Kakuro-hard-075-ext.xml.hg,CSP Application,142,96
Kakuro-hard-078-ext.xml.hg,CSP Application,148,98
Kakuro-hard-083-ext.xml.hg,CSP Application,153,98
Kakuro-hard-084-ext.xml.hg,CSP Application,156,100
Kakuro-hard-086-ext.xml.hg,CSP Application,150,88
Kakuro-hard-087-ext.xml.hg,CSP Application,148,90
Kakuro-hard-088-ext.xml.hg,CSP Application,153,100
Kakuro-hard-090-ext.xml.hg,CSP Application,157,96
Kakuro-hard-092-ext.xml.hg,CSP Application,150,96
Kakuro-hard-093-ext.xml.hg,CSP Application,153,96
Kakuro-hard-094-ext.xml.hg,CSP Application,157,96
Kakuro-hard-096-ext.xml.hg,CSP Application,151,96
Kakuro-hard-097-ext.xml.hg,CSP Application,154,96
Kakuro-hard-098-ext.xml.hg,CSP Application,157,96
Kakuro-hard-099-ext.xml.hg,CSP Application,159,96
Kakuro-hard-103-ext.xml.hg,CSP Application,162,96
Kakuro-hard-104-ext.xml.hg,CSP Application,148,94
Kakuro-hard-106-ext.xml.hg,CSP Application,150,96
Kakuro-hard-109-ext.xml.hg,CSP Application,180,100
Kakuro-hard-112-ext.xml.hg,CSP Application,162,98
Kakuro-hard-113-ext.xml.hg,CSP Application,153,90
Kakuro-hard-114-ext.xml.hg,CSP Application,168,92
Kakuro-hard-115-ext.xml.hg,CSP Application,166,98
Kakuro-hard-116-ext.xml.hg,CSP Application,176,92
Kakuro-hard-118-ext.xml.hg,CSP Application,158,90
Kakuro-hard-119-ext.xml.hg,CSP Application,154,88
Kakuro-hard-121-ext.xml.hg,CSP Application,164,100
Kakuro-hard-122-ext.xml.hg,CSP Application,156,90
Kakuro-hard-123-ext.xml.hg,CSP Application,160,96
Kakuro-hard-124-ext.xml.hg,CSP Application,154,94
Kakuro-hard-125-ext.xml.hg,CSP Application,157,82
Kakuro-hard-126-ext.xml.hg,CSP Application,164,98
Kakuro-hard-127-ext.xml.hg,CSP Application,170,98
Kakuro-hard-128-ext.xml.hg,CSP Application,172,96
Kakuro-hard-129-ext.xml.hg,CSP Application,164,100
Kakuro-hard-130-ext.xml.hg,CSP Application,169,96
Kakuro-hard-131-ext.xml.hg,CSP Application,157,90
Kakuro-hard-132-ext.xml.hg,CSP Application,180,96
Kakuro-hard-133-ext.xml.hg,CSP Application,172,92
Kakuro-hard-134-ext.xml.hg,CSP Application,164,96
Kakuro-hard-135-ext.xml.hg,CSP Application,156,92
Kakuro-hard-136-ext.xml.hg,CSP Application,157,90
Kakuro-hard-137-ext.xml.hg,CSP Application,181,98
Kakuro-hard-138-ext.xml.hg,CSP Application,168,96
Kakuro-hard-140-ext.xml.hg,CSP Application,176,100
Kakuro-hard-141-ext.xml.hg,CSP Application,164,88
Kakuro-hard-144-ext.xml.hg,CSP Application,156,96
Kakuro-hard-145-ext.xml.hg,CSP Application,155,92
Kakuro-hard-149-ext.xml.hg,CSP Application,173,92
Kakuro-hard-150-ext.xml.hg,CSP Application,165,98
Kakuro-hard-151-ext.xml.hg,CSP Application,164,94
Kakuro-hard-153-ext.xml.hg,CSP Application,168,98
Kakuro-hard-154-ext.xml.hg,CSP Application,164,98
Kakuro-hard-155-ext.xml.hg,CSP Application,165,88
Kakuro-hard-156-ext.xml.hg,CSP Application,177,96
Kakuro-hard-157-ext.xml.hg,CSP Application,175,98
Kakuro-hard-158-ext.xml.hg,CSP Application,154,98
Kakuro-hard-159-ext.xml.hg,CSP Application,153,92
Kakuro-hard-161-ext.xml.hg,CSP Application,158,96
Kakuro-hard-162-ext.xml.hg,CSP Application,165,94
Kakuro-hard-163-ext.xml.hg,CSP Application,156,90
Kakuro-hard-165-ext.xml.hg,CSP Application,164,92
Kakuro-hard-168-ext.xml.hg,CSP Application,160,84
Kakuro-hard-169-ext.xml.hg,CSP Application,165,86
Kakuro-hard-170-ext.xml.hg,CSP Application,165,100
Kakuro-hard-171-ext.xml.hg,CSP Application,165,98
Kakuro-hard-172-ext.xml.hg,CSP Application,172,96
Kakuro-hard-173-ext.xml.hg,CSP Application,168,88
Kakuro-hard-174-ext.xml.hg,CSP Application,167,94
Kakuro-medium-000-ext.xml.hg,CSP Application,18,12
Kakuro-medium-001-ext.xml.hg,CSP Application,36,24
Kakuro-medium-002-ext.xml.hg,CSP Application,71,52
Kakuro-medium-003-ext.xml.hg,CSP Application,73,48
Kakuro-medium-004-ext.xml.hg,CSP Application,76,48
Kakuro-medium-005-ext.xml.hg,CSP Application,72,50
Kakuro-medium-006-ext.xml.hg,CSP Application,80,54
Kakuro-medium-007-ext.xml.hg,CSP Application,86,58
Kakuro-medium-008-ext.xml.hg,CSP Application,79,54
Kakuro-medium-009-ext.xml.hg,CSP Application,78,56
Kakuro-medium-010-ext.xml.hg,CSP Application,83,58
Kakuro-medium-011-ext.xml.hg,CSP Application,80,52
Kakuro-medium-012-ext.xml.hg,CSP Application,81,58
Kakuro-medium-013-ext.xml.hg,CSP Application,87,54
Kakuro-medium-014-ext.xml.hg,CSP Application,74,52
Kakuro-medium-015-ext.xml.hg,CSP Application,82,54
Kakuro-medium-016-ext.xml.hg,CSP Application,86,58
Kakuro-medium-017-ext.xml.hg,CSP Application,89,58
Kakuro-medium-018-ext.xml.hg,CSP Application,82,56
Kakuro-medium-019-ext.xml.hg,CSP Application,86,58
Kakuro-medium-020-ext.xml.hg,CSP Application,81,54
Kakuro-medium-021-ext.xml.hg,CSP Application,86,56
Kakuro-medium-022-ext.xml.hg,CSP Application,84,54
Kakuro-medium-023-ext.xml.hg,CSP Application,81,60
Kakuro-medium-024-ext.xml.hg,CSP Application,84,58
Kakuro-medium-025-ext.xml.hg,CSP Application,83,54
Kakuro-medium-026-ext.xml.hg,CSP Application,80,50
Kakuro-medium-027-ext.xml.hg,CSP Application,88,56
Kakuro-medium-028-ext.xml.hg,CSP Application,88,54
Kakuro-medium-029-ext.xml.hg,CSP Application,80,52
Kakuro-medium-030-ext.xml.hg,CSP Application,81,52
Kakuro-medium-031-ext.xml.hg,CSP Application,76,48
Kakuro-medium-032-ext.xml.hg,CSP Application,85,58
Kakuro-medium-033-ext.xml.hg,CSP Application,80,54
Kakuro-medium-034-ext.xml.hg,CSP Application,88,58
Kakuro-medium-035-ext.xml.hg,CSP Application,83,52
Kakuro-medium-036-ext.xml.hg,CSP Application,82,52
Kakuro-medium-037-ext.xml.hg,CSP Application,86,52
Kakuro-medium-038-ext.xml.hg,CSP Application,90,52
Kakuro-medium-039-ext.xml.hg,CSP Application,89,54
Kakuro-medium-040-ext.xml.hg,CSP Application,86,54
Kakuro-medium-041-ext.xml.hg,CSP Application,84,54
Kakuro-medium-042-ext.xml.hg,CSP Application,84,56
Kakuro-medium-043-ext.xml.hg,CSP Application,83,56
Kakuro-medium-044-ext.xml.hg,CSP Application,82,58
Kakuro-medium-045-ext.xml.hg,CSP Application,84,52
Kakuro-medium-046-ext.xml.hg,CSP Application,82,54
Kakuro-medium-047-ext.xml.hg,CSP Application,86,58
Kakuro-medium-048-ext.xml.hg,CSP Application,84,60
Kakuro-medium-049-ext.xml.hg,CSP Application,108,66
Kakuro-medium-050-ext.xml.hg,CSP Application,110,62
Kakuro-medium-051-ext.xml.hg,CSP Application,105,64
Kakuro-medium-052-ext.xml.hg,CSP Application,103,68
Kakuro-medium-053-ext.xml.hg,CSP Application,104,66
Kakuro-medium-054-ext.xml.hg,CSP Application,103,64
Kakuro-medium-055-ext.xml.hg,CSP Application,100,66
Kakuro-medium-056-ext.xml.hg,CSP Application,99,62
Kakuro-medium-057-ext.xml.hg,CSP Application,121,82
Kakuro-medium-058-ext.xml.hg,CSP Application,122,76
Kakuro-medium-059-ext.xml.hg,CSP Application,120,78
Kakuro-medium-060-ext.xml.hg,CSP Application,148,98
Kakuro-medium-061-ext.xml.hg,CSP Application,144,98
Kakuro-medium-063-ext.xml.hg,CSP Application,150,96
Kakuro-medium-064-ext.xml.hg,CSP Application,144,98
Kakuro-medium-067-ext.xml.hg,CSP Application,148,94
Kakuro-medium-068-ext.xml.hg,CSP Application,148,94
Kakuro-medium-069-ext.xml.hg,CSP Application,155,98
Kakuro-medium-070-ext.xml.hg,CSP Application,152,98
Kakuro-medium-071-ext.xml.hg,CSP Application,148,98
Kakuro-medium-072-ext.xml.hg,CSP Application,150,96
Kakuro-medium-073-ext.xml.hg,CSP Application,148,98
Kakuro-medium-074-ext.xml.hg,CSP Application,142,96
Kakuro-medium-081-ext.xml.hg,CSP Application,153,98
Kakuro-medium-082-ext.xml.hg,CSP Application,156,100
Kakuro-medium-084-ext.xml.hg,CSP Application,150,88
Kakuro-medium-085-ext.xml.hg,CSP Application,148,90
Kakuro-medium-086-ext.xml.hg,CSP Application,153,100
Kakuro-medium-089-ext.xml.hg,CSP Application,150,96
Kakuro-medium-090-ext.xml.hg,CSP Application,153,96
Kakuro-medium-091-ext.xml.hg,CSP Application,157,96
Kakuro-medium-093-ext.xml.hg,CSP Application,154,96
Kakuro-medium-094-ext.xml.hg,CSP Application,157,96
Kakuro-medium-098-ext.xml.hg,CSP Application,162,96
Kakuro-medium-099-ext.xml.hg,CSP Application,148,94
Kakuro-medium-101-ext.xml.hg,CSP Application,150,96
Kakuro-medium-104-ext.xml.hg,CSP Application,180,100
Kakuro-medium-108-ext.xml.hg,CSP Application,162,98
Kakuro-medium-109-ext.xml.hg,CSP Application,153,90
Kakuro-medium-110-ext.xml.hg,CSP Application,168,92
Kakuro-medium-111-ext.xml.hg,CSP Application,166,98
Kakuro-medium-112-ext.xml.hg,CSP Application,176,92
Kakuro-medium-114-ext.xml.hg,CSP Application,158,90
Kakuro-medium-115-ext.xml.hg,CSP Application,154,88
Kakuro-medium-117-ext.xml.hg,CSP Application,164,100
Kakuro-medium-118-ext.xml.hg,CSP Application,156,90
Kakuro-medium-119-ext.xml.hg,CSP Application,160,96
Kakuro-medium-120-ext.xml.hg,CSP Application,154,94
Kakuro-medium-121-ext.xml.hg,CSP Application,157,82
Kakuro-medium-122-ext.xml.hg,CSP Application,164,98
Kakuro-medium-123-ext.xml.hg,CSP Application,170,98
Kakuro-medium-124-ext.xml.hg,CSP Application,172,96
Kakuro-medium-125-ext.xml.hg,CSP Application,164,100
Kakuro-medium-126-ext.xml.hg,CSP Application,169,96
Kakuro-medium-127-ext.xml.hg,CSP Application,157,90
Kakuro-medium-128-ext.xml.hg,CSP Application,180,96
Kakuro-medium-129-ext.xml.hg,CSP Application,172,92
Kakuro-medium-130-ext.xml.hg,CSP Application,164,96
Kakuro-medium-131-ext.xml.hg,CSP Application,156,92
Kakuro-medium-132-ext.xml.hg,CSP Application,157,90
Kakuro-medium-133-ext.xml.hg,CSP Application,181,98
Kakuro-medium-134-ext.xml.hg,CSP Application,168,96
Kakuro-medium-136-ext.xml.hg,CSP Application,176,100
Kakuro-medium-137-ext.xml.hg,CSP Application,164,88
Kakuro-medium-140-ext.xml.hg,CSP Application,156,96
Kakuro-medium-141-ext.xml.hg,CSP Application,155,92
Kakuro-medium-145-ext.xml.hg,CSP Application,173,92
Kakuro-medium-146-ext.xml.hg,CSP Application,165,98
Kakuro-medium-147-ext.xml.hg,CSP Application,164,94
Kakuro-medium-149-ext.xml.hg,CSP Application,168,98
Kakuro-medium-150-ext.xml.hg,CSP Application,164,98
Kakuro-medium-151-ext.xml.hg,CSP Application,165,88
Kakuro-medium-152-ext.xml.hg,CSP Application,177,96
Kakuro-medium-153-ext.xml.hg,CSP Application,169,98
Kakuro-medium-154-ext.xml.hg,CSP Application,175,98
Kakuro-medium-155-ext.xml.hg,CSP Application,154,98
Kakuro-medium-156-ext.xml.hg,CSP Application,153,92
Kakuro-medium-158-ext.xml.hg,CSP Application,158,96
Kakuro-medium-159-ext.xml.hg,CSP Application,165,94
Kakuro-medium-160-ext.xml.hg,CSP Application,156,90
Kakuro-medium-162-ext.xml.hg,CSP Application,164,92
Kakuro-medium-165-ext.xml.hg,CSP Application,165,86
Kakuro-medium-166-ext.xml.hg,CSP Application,165,100
Kakuro-medium-167-ext.xml.hg,CSP Application,165,98
Kakuro-medium-168-ext.xml.hg,CSP Application,172,96
Kakuro-medium-169-ext.xml.hg,CSP Application,167,94
MaxCSP-connell.xml.hg,CSP Application,13,15
MaxCSP-eye.xml.hg,CSP Application,37,53
MaxCSP-simple.xml.hg,CSP Application,6,6
